region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,latitude,longitude
auburn,0,2019,chevrolet,express cargo van,like new,6 cylinders,gas,69125,clean,automatic,rwd,full-size,van,white,al,31.425091,-85.617723
birmingham,50000,2019,toyota,tundra,like new,8 cylinders,gas,20010,clean,automatic,4wd,full-size,truck,white,al,33.345723,-86.767445
birmingham,72900,2021,chevrolet,tahoe,good,8 cylinders,gas,19129,clean,automatic,4wd,full-size,SUV,grey,al,33.772519,-86.475191
birmingham,17000,2019,chevrolet,trax,good,4 cylinders,gas,14898,clean,automatic,4wd,full-size,SUV,grey,al,33.772519,-86.475191
birmingham,24888,2019,ford,f150 regular cab xl,excellent,6 cylinders,gas,8176,clean,automatic,rwd,full-size,pickup,white,al,33.4188,-86.7867
birmingham,34900,2020,nissan,pathfinder,excellent,6 cylinders,gas,15400,clean,automatic,rwd,full-size,SUV,white,al,33.3538,-86.8254
birmingham,24888,2019,ford,f150 regular cab xl,excellent,6 cylinders,gas,8176,clean,automatic,rwd,full-size,pickup,white,al,33.4188,-86.7867
birmingham,37900,2020,chevrolet,silverado 1500,like new,8 cylinders,gas,5622,clean,automatic,rwd,full-size,truck,white,al,36.4641,-86.65828
birmingham,31900,2019,ford,transit,like new,6 cylinders,gas,29497,clean,automatic,rwd,mid-size,van,white,al,36.4641,-86.65828
birmingham,32900,2019,ford,transit,like new,6 cylinders,gas,6735,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
birmingham,31500,2019,gmc,savana,like new,8 cylinders,gas,24585,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
birmingham,29900,2019,ford,f-150,like new,8 cylinders,gas,23004,clean,automatic,rwd,full-size,truck,white,al,36.4641,-86.65828
birmingham,37500,2020,infiniti,qx 50 luxe,like new,4 cylinders,gas,4230,clean,manual,fwd,full-size,SUV,white,al,33.2932,-86.768
birmingham,26900,2019,ford,f150 regular cab xl,excellent,6 cylinders,gas,8176,clean,automatic,rwd,full-size,pickup,white,al,33.4188,-86.7867
birmingham,40888,2020,jeep,gladiator,like new,6 cylinders,gas,27955,clean,automatic,4wd,mid-size,SUV,black,al,32.9229,-86.545
birmingham,40888,2020,jeep,gladiator,like new,6 cylinders,gas,27955,clean,automatic,4wd,mid-size,SUV,black,al,32.9229,-86.545
birmingham,28500,2019,gmc,acadia,good,6 cylinders,gas,43961,clean,automatic,fwd,full-size,SUV,black,al,33.772519,-86.475191
birmingham,34500,2019,ford,transit,like new,6 cylinders,gas,7646,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
birmingham,32700,2019,ford,transit,like new,6 cylinders,gas,13646,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
birmingham,32900,2019,ford,transit,like new,6 cylinders,gas,6735,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
birmingham,34800,2019,ford,transit,like new,6 cylinders,gas,31020,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
birmingham,35500,2019,chevrolet,silverado 4x4,like new,8 cylinders,gas,7189,clean,automatic,4wd,full-size,truck,black,al,29.0266,-81.3349
birmingham,40888,2020,jeep,gladiator,like new,6 cylinders,gas,27955,clean,automatic,4wd,mid-size,SUV,black,al,32.9229,-86.545
birmingham,38000,2020,chevrolet,colorado crew cab lt,like new,4 cylinders,diesel,8932,clean,automatic,rwd,mid-size,pickup,white,al,33.5062,-86.8003
birmingham,35900,2020,ram,1500 big horn,good,8 cylinders,gas,21028,clean,automatic,rwd,full-size,pickup,silver,al,33.242959,-86.817398
birmingham,40988,2020,jeep,gladiator,like new,6 cylinders,gas,27955,clean,automatic,4wd,mid-size,SUV,black,al,32.9229,-86.545
birmingham,29600,2019,gmc,savana,like new,8 cylinders,gas,30052,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
birmingham,36700,2019,ford,transit 250,excellent,6 cylinders,gas,14985,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
birmingham,37900,2020,chevrolet,silverado 1500,like new,8 cylinders,gas,5622,clean,automatic,rwd,full-size,truck,white,al,36.4641,-86.65828
birmingham,31900,2019,ford,transit 250,excellent,6 cylinders,gas,29497,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
birmingham,38300,2020,ford,transit,like new,6 cylinders,gas,7540,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
birmingham,34800,2019,ford,transit,excellent,6 cylinders,gas,31020,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
birmingham,40900,2021,toyota,tacoma 4wd,good,6 cylinders,gas,1582,clean,automatic,4wd,full-size,truck,silver,al,31.316064,-89.437114
birmingham,40988,2020,jeep,gladiator,like new,6 cylinders,gas,27955,clean,automatic,4wd,mid-size,SUV,black,al,32.9229,-86.545
